uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_COAp_right,1.173851307,COAp,right,app,1,FALSE,COA,OLF,app,COAp_right
app_CP_left,0.629480561,CP,left,app,0.629480561,FALSE,CP,STR,app,CP_left
app_CP_right,0.605941587,CP,right,app,0.605941587,FALSE,CP,STR,app,CP_right
app_cpd_left,0.423601514,cpd,left,app,0.423601514,TRUE,cpd,fiber tracts,app,cpd_left
app_cpd_right,0.421370596,cpd,right,app,0.421370596,TRUE,cpd,fiber tracts,app,cpd_right
app_CS_left,0.287944201,CS,left,app,0.287944201,FALSE,CS,P,app,CS_left
app_CS_right,0.33672298,CS,right,app,0.33672298,FALSE,CS,P,app,CS_right
app_csc_left,0.130123336,csc,left,app,0.130123336,TRUE,csc,fiber tracts,app,csc_left
app_csc_right,0.297082727,csc,right,app,0.297082727,TRUE,csc,fiber tracts,app,csc_right
app_cst_left,0.740004113,cst,left,app,0.740004113,TRUE,cst,fiber tracts,app,cst_left
app_cst_right,0.639000801,cst,right,app,0.639000801,TRUE,cst,fiber tracts,app,cst_right
app_CTXsp_left,0.920301978,CTXsp,left,app,0.920301978,FALSE,CTXsp,CTXsp,app,CTXsp_left
app_CTXsp_right,0.888717433,CTXsp,right,app,0.888717433,FALSE,CTXsp,CTXsp,app,CTXsp_right
app_CUN_left,0.146125754,CUN,left,app,0.146125754,FALSE,CUN,MB,app,CUN_left
app_CUN_right,0.379724263,CUN,right,app,0.379724263,FALSE,CUN,MB,app,CUN_right
app_DG_left,0.643644268,DG,left,app,0.643644268,FALSE,DG,HPF,app,DG_left
app_DG_right,0.636793176,DG,right,app,0.636793176,FALSE,DG,HPF,app,DG_right
app_dhc_left,0.51773537,dhc,left,app,0.51773537,TRUE,dhc,fiber tracts,app,dhc_left
app_dhc_right,0.483182025,dhc,right,app,0.483182025,TRUE,dhc,fiber tracts,app,dhc_right
app_DMH_left,0.454964241,DMH,left,app,0.454964241,FALSE,DMH,HY,app,DMH_left
app_DMH_right,0.458780151,DMH,right,app,0.458780151,FALSE,DMH,HY,app,DMH_right
app_DP_left,0.708511137,DP,left,app,0.708511137,FALSE,DP,OLF,app,DP_left
app_DP_right,0.688851173,DP,right,app,0.688851173,FALSE,DP,OLF,app,DP_right
app_DR_left,0.388100306,DR,left,app,0.388100306,FALSE,DR,MB,app,DR_left
app_DR_right,0.460378934,DR,right,app,0.460378934,FALSE,DR,MB,app,DR_right
app_dscp_left,-0.106260326,dscp,left,app,0,TRUE,dscp,fiber tracts,app,dscp_left
app_dscp_right,-0.131805356,dscp,right,app,0,TRUE,dscp,fiber tracts,app,dscp_right
app_DT_left,0.755577717,DT,left,app,0.755577717,FALSE,DT,MB,app,DT_left
app_DT_right,0.509368815,DT,right,app,0.509368815,FALSE,DT,MB,app,DT_right
app_dtd_left,-1.04450419,dtd,left,app,0,TRUE,dtd,fiber tracts,app,dtd_left
app_dtd_right,0.33129166,dtd,right,app,0.33129166,TRUE,dtd,fiber tracts,app,dtd_right
app_ec_left,0.769883026,ec,left,app,0.769883026,TRUE,ec,fiber tracts,app,ec_left
app_ec_right,0.689624727,ec,right,app,0.689624727,TRUE,ec,fiber tracts,app,ec_right
app_ECT_left,1.026901143,ECT,left,app,1,FALSE,ECT,Isocortex,app,ECT_left
app_ECT_right,0.960835309,ECT,right,app,0.960835309,FALSE,ECT,Isocortex,app,ECT_right
app_em_left,0.668612051,em,left,app,0.668612051,TRUE,em,fiber tracts,app,em_left
