uniqueID,preLimVal,region,hemi,mouse,treatment,postLimVal,removeRegion,parent,major,x,y
1152_mPFF_MD_left,0.465202908,MD,left,1152,mPFF,0.465202908,FALSE,MD,TH,1152_mPFF,MD_left
1152_mPFF_MD_right,0.615794648,MD,right,1152,mPFF,0.615794648,FALSE,MD,TH,1152_mPFF,MD_right
1152_mPFF_MEA_left,0.182143214,MEA,left,1152,mPFF,0.182143214,FALSE,MEA,STR,1152_mPFF,MEA_left
1152_mPFF_MEA_right,0.451284809,MEA,right,1152,mPFF,0.451284809,FALSE,MEA,STR,1152_mPFF,MEA_right
1152_mPFF_ME_left,-5,ME,left,1152,mPFF,0,FALSE,ME,HY,1152_mPFF,ME_left
1152_mPFF_ME_right,-5,ME,right,1152,mPFF,0,FALSE,ME,HY,1152_mPFF,ME_right
1152_mPFF_MH_left,-0.806401671,MH,left,1152,mPFF,0,FALSE,MH,TH,1152_mPFF,MH_left
1152_mPFF_MH_right,-0.408272945,MH,right,1152,mPFF,0,FALSE,MH,TH,1152_mPFF,MH_right
1152_mPFF_MOp_left,0.48436305,MOp,left,1152,mPFF,0.48436305,FALSE,MOp,Isocortex,1152_mPFF,MOp_left
1152_mPFF_MOp_right,0.604816829,MOp,right,1152,mPFF,0.604816829,FALSE,MOp,Isocortex,1152_mPFF,MOp_right
1152_mPFF_MOs_left,0.550952453,MOs,left,1152,mPFF,0.550952453,FALSE,MOs,Isocortex,1152_mPFF,MOs_left
1152_mPFF_MOs_right,0.670486661,MOs,right,1152,mPFF,0.670486661,FALSE,MOs,Isocortex,1152_mPFF,MOs_right
1152_mPFF_MRN_left,0.188935776,MRN,left,1152,mPFF,0.188935776,FALSE,MRN,MB,1152_mPFF,MRN_left
1152_mPFF_MRN_right,0.247646098,MRN,right,1152,mPFF,0.247646098,FALSE,MRN,MB,1152_mPFF,MRN_right
1152_mPFF_MS_left,-0.199024897,MS,left,1152,mPFF,0,FALSE,MS,PAL,1152_mPFF,MS_left
1152_mPFF_MS_right,-0.349408507,MS,right,1152,mPFF,0,FALSE,MS,PAL,1152_mPFF,MS_right
1152_mPFF_NDB_left,-0.406027224,NDB,left,1152,mPFF,0,FALSE,NDB,PAL,1152_mPFF,NDB_left
1152_mPFF_NDB_right,-0.419692357,NDB,right,1152,mPFF,0,FALSE,NDB,PAL,1152_mPFF,NDB_right
1152_mPFF_NLL_left,-0.246145445,NLL,left,1152,mPFF,0,FALSE,NLL,P,1152_mPFF,NLL_left
1152_mPFF_NLL_right,0.122099497,NLL,right,1152,mPFF,0.122099497,FALSE,NLL,P,1152_mPFF,NLL_right
1152_mPFF_OLF_left,-0.497915048,OLF,left,1152,mPFF,0,FALSE,OLF,OLF,1152_mPFF,OLF_left
1152_mPFF_OLF_right,0.141886772,OLF,right,1152,mPFF,0.141886772,FALSE,OLF,OLF,1152_mPFF,OLF_right
1152_mPFF_OT_left,-0.380988379,OT,left,1152,mPFF,0,FALSE,OT,STR,1152_mPFF,OT_left
1152_mPFF_OT_right,-0.141222501,OT,right,1152,mPFF,0,FALSE,OT,STR,1152_mPFF,OT_right
1152_mPFF_PAA_left,-0.587083208,PAA,left,1152,mPFF,0,FALSE,PAA,OLF,1152_mPFF,PAA_left
1152_mPFF_PAA_right,0.357209786,PAA,right,1152,mPFF,0.357209786,FALSE,PAA,OLF,1152_mPFF,PAA_right
1152_mPFF_PAG_left,0.087299002,PAG,left,1152,mPFF,0.087299002,FALSE,PAG,MB,1152_mPFF,PAG_left
1152_mPFF_PAG_right,0.2633631,PAG,right,1152,mPFF,0.2633631,FALSE,PAG,MB,1152_mPFF,PAG_right
1152_mPFF_PAL_left,-0.215160139,PAL,left,1152,mPFF,0,FALSE,PAL,PAL,1152_mPFF,PAL_left
1152_mPFF_PAL_right,0.048694494,PAL,right,1152,mPFF,0.048694494,FALSE,PAL,PAL,1152_mPFF,PAL_right
1152_mPFF_PALd_left,-0.440077519,PALd,left,1152,mPFF,0,FALSE,PAL,PAL,1152_mPFF,PALd_left
1152_mPFF_PALd_right,0.606131183,PALd,right,1152,mPFF,0.606131183,FALSE,PAL,PAL,1152_mPFF,PALd_right
1152_mPFF_PAR_left,-0.11880997,PAR,left,1152,mPFF,0,FALSE,PAR,HPF,1152_mPFF,PAR_left
1152_mPFF_PAR_right,0.487712582,PAR,right,1152,mPFF,0.487712582,FALSE,PAR,HPF,1152_mPFF,PAR_right
1152_mPFF_PBG_left,-0.431883781,PBG,left,1152,mPFF,0,FALSE,PBG,MB,1152_mPFF,PBG_left
1152_mPFF_PBG_right,0.240175371,PBG,right,1152,mPFF,0.240175371,FALSE,PBG,MB,1152_mPFF,PBG_right
1152_mPFF_PCN_left,0.315268604,PCN,left,1152,mPFF,0.315268604,FALSE,PCN,TH,1152_mPFF,PCN_left
1152_mPFF_PCN_right,0.566348393,PCN,right,1152,mPFF,0.566348393,FALSE,PCN,TH,1152_mPFF,PCN_right
