region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iLT,-1.2046934450101694,0.5069887755664243,0.0,1.0,0.0,1
iMT,0.13694812745982818,0.017336290459984836,0.0,1.0,0.0,1
iSNc,1.2295642381929384,0.030768410792565374,0.0,1.0,0.0,1
iPPN,0.20701268043723817,0.06759588672036648,0.0,1.0,0.0,1
iIF,-0.9308991907547886,0.6085608102334317,0.0,1.0,0.0,1
iIPN,-0.8287417674043455,0.6301171321247293,0.0,1.0,0.0,1
iRL,-0.6758610513526203,0.5900472697888403,0.0,1.0,0.0,1
iCLI,0.1370248182603868,0.037454329213582556,0.0,1.0,0.0,1
iDR,-0.06072635749041268,0.36518596977422635,0.0,1.0,0.0,1
iNLL,-0.7980128503294427,0.6225019775591011,0.0,1.0,0.0,1
iPSV,-0.7283279226441282,0.635139881029218,0.0,1.0,0.0,1
iPB,-0.3430814404298983,0.7157406084445803,0.0,1.0,3.4027138809164015e-276,1
iSOC,-0.7638236701488704,0.6019171854940683,0.0,1.0,0.0,1
iPG,-0.6536484035515316,0.6417642987439567,0.0,1.0,0.0,1
iSUT,-0.49212384157502004,0.6980621894616291,0.0,1.0,3.671523337106086e-289,1
iTRN,-0.7200154170416029,0.6491663082746899,0.0,1.0,0.0,1
iP5,-0.4471404080414468,0.7022440149744459,0.0,1.0,3.3530930915567247e-261,1
iPC5,-0.7382594596856535,0.5963979877926013,0.0,1.0,0.0,1
iCS,-0.8055235693600801,0.6211345547908419,0.0,1.0,0.0,1
iPRNr,-0.5238488028883257,0.6961445071782738,0.0,1.0,7.422970395611601e-297,1
iNTB,-0.44118115116633816,0.7318746270329562,0.0,1.0,3.8578513405830463e-213,1
iCB,-0.23236759715345526,0.8294206631232731,0.0,1.0,5.371102068909198e-45,1
cFRP,0.13812997669395657,0.02691111635675344,0.0,1.0,0.0,1
cMOp,0.05430107945482176,0.5568420387518694,0.0,1.0,1.3896942253925625e-120,1
cMOs,1.6804592505689262,0.10946100087996057,0.0,1.0,0.0,1
cSSp-n,-1.074334314544431,0.6203625295011435,0.0,1.0,0.0,1
cSSp-bfd,-1.0018042641413758,0.6079972567643528,0.0,1.0,0.0,1
cSSp-ll,-0.979148774574288,0.5902763858692115,0.0,1.0,0.0,1
cSSp-m,-0.998088056247665,0.5791040666704076,0.0,1.0,0.0,1
cSSp-ul,-0.7626811680992989,0.5488869211367758,0.0,1.0,0.0,1
cSSp-tr,-0.8612868246637274,0.5313573700704856,0.0,1.0,0.0,1
cSSp-un,-1.0577672585786677,0.4939128638719627,0.0,1.0,0.0,1
cSSs,-0.09915944400121268,0.707351711979341,0.0,1.0,9.934907594959846e-76,1
cGU,-0.2228895330183786,0.22110707945509395,0.0,1.0,0.0,1
cVISC,0.1338529094448533,0.0832397391428142,0.0,1.0,0.0,1
cAUDd,-0.8767162441026178,0.5164523448424355,0.0,1.0,0.0,1
cAUDp,-0.813154266554423,0.647859043305142,0.0,1.0,0.0,1
cAUDpo,-1.209684598629638,0.5225559949448145,0.0,1.0,0.0,1
cAUDv,0.11010476028296816,0.2861120686528923,0.0,1.0,0.0,1
cVISal,-1.1272968359863584,0.534488858966903,0.0,1.0,0.0,1
cVISam,-1.198578224639204,0.527086462726743,0.0,1.0,0.0,1
cVISl,-0.9245131570578381,0.6144084470331859,0.0,1.0,0.0,1
cVISp,-0.16734239281736962,0.8897026317399128,0.0,1.0,5.40481279065729e-17,1
cVISpl,-1.0089028156788202,0.5592529808189761,0.0,1.0,0.0,1
cVISpm,-1.14980502243903,0.5950195246755772,0.0,1.0,0.0,1
cVISli,-1.3469124872446787,0.5684262457393727,0.0,1.0,0.0,1
cVISpor,-0.9048242473556029,0.5178618233688138,0.0,1.0,0.0,1
cACAd,0.5518041605884506,0.05215308285137181,0.0,1.0,0.0,1
cACAv,-1.5385845430625669,0.5054811482712224,0.0,1.0,0.0,1
cPL,0.5543898510728544,0.044701057441708165,0.0,1.0,0.0,1
cILA,-0.5433905608289668,0.2563824307582154,0.0,1.0,0.0,1
cORBl,0.4314226015297824,0.03625156339600176,0.0,1.0,0.0,1
cORBm,-0.6323901325402155,0.22480038370143463,0.0,1.0,0.0,1
cORBvl,0.018451621721650786,0.08111760165080531,0.0,1.0,0.0,1
cAId,0.7770121301516968,0.04009516609736775,0.0,1.0,0.0,1
cAIp,0.46810655883535907,0.049021145828644794,0.0,1.0,0.0,1
cAIv,0.03603303391867327,0.07064834991097453,0.0,1.0,0.0,1
cRSPagl,-0.8678625508525609,0.6194352439906001,0.0,1.0,0.0,1
cRSPd,-0.9112244219711638,0.6631091211124562,0.0,1.0,0.0,1
cRSPv,-1.0918752530155587,0.6317593751726984,0.0,1.0,0.0,1
cVISa,-1.0903263751955352,0.5652423229938085,0.0,1.0,0.0,1
cVISrl,-0.8104921125565415,0.5514898577892835,0.0,1.0,0.0,1
cTEa,1.0070325367609814,0.07227315723016119,0.0,1.0,0.0,1
cPERI,0.48156319590150576,0.022394302084246375,0.0,1.0,0.0,1
cECT,0.8382839298575726,0.02291724776252348,0.0,1.0,0.0,1
cMOB,-0.10860005920051029,0.7627569562060984,0.0,1.0,6.351636003741345e-148,1
cAON,0.04923560362429719,0.4737212067344219,0.0,1.0,1.7836629712884863e-254,1
cTT,-0.6959210144104736,0.4906886590909087,0.0,1.0,0.0,1
cDP,-1.0360207470760558,0.5736727863159944,0.0,1.0,0.0,1
cPIR,-1.0433216517239086,0.6162909349519748,0.0,1.0,0.0,1
cCOAp,-1.0783505509509788,0.6061181658359085,0.0,1.0,0.0,1
cPAA,-1.385506681039637,0.5235300033668892,0.0,1.0,0.0,1
cTR,-1.2448951710692209,0.519689917063147,0.0,1.0,0.0,1
cCA1,-0.50442669135962,0.8178683154050044,0.0,1.0,2.474106020155822e-158,1
cCA2,-1.1039693395648633,0.5646788311045247,0.0,1.0,0.0,1
cCA3,-0.5351489111662769,0.7306928510340495,0.0,1.0,2.1978360469537312e-243,1
cDG,-0.3517441166511621,0.8151347759863433,0.0,1.0,2.698605724325612e-89,1
cFC,-0.9229919066459258,0.6041231713853302,0.0,1.0,0.0,1
cIG,-1.1750526413025753,0.5551625429138692,0.0,1.0,0.0,1
cENTl,0.11783676527432378,0.2791807963675517,0.0,1.0,0.0,1
cENTm,-1.1491472179195485,0.6228069878432723,0.0,1.0,0.0,1
cPAR,-0.8610603932247086,0.6186952210957065,0.0,1.0,0.0,1
cPOST,-0.9334957750550311,0.6018012907765686,0.0,1.0,0.0,1
cPRE,-0.8760085867383934,0.6188062577217767,0.0,1.0,0.0,1
cSUB,-1.0884102700323939,0.5867693432349996,0.0,1.0,0.0,1
cProS,-1.2726844088589782,0.5925325584058745,0.0,1.0,0.0,1
cHATA,-1.3368596969631326,0.5603123545229273,0.0,1.0,0.0,1
cAPr,-0.8108422288857884,0.6222566306351698,0.0,1.0,0.0,1
cCLA,-0.13292314616798587,0.14095843368080793,0.0,1.0,0.0,1
cEP,-0.314841078837112,0.3496359346582606,0.0,1.0,0.0,1
cLA,-0.8025966475527616,0.27755889888632884,0.0,1.0,0.0,1
cBLA,0.9252314741893343,0.024378426295636295,0.0,1.0,0.0,1
cBMA,0.0847556395420034,0.13985137628554603,0.0,1.0,0.0,1
cPA,-1.2994782138191765,0.5521435949335044,0.0,1.0,0.0,1
cCP,-0.006389235978960384,0.9774696658431148,0.0,1.0,0.28043629427238337,0
cACB,0.38243160078139976,1.0224095046675103,0.0,1.0,1.1948001373466892e-197,1
cFS,-0.43530575095523455,0.6369005581180885,0.0,1.0,0.0,1
cOT,-0.5657972521615068,0.7054436300642772,0.0,1.0,5.1867817947e-313,1
cLS,-0.3494794503465857,0.8117873333263829,0.0,1.0,8.105390392920416e-104,1
cSF,-0.7166409188666027,0.6494866868937433,0.0,1.0,0.0,1
cSH,-0.605675592452088,0.6406235939588084,0.0,1.0,0.0,1
cBA,-0.9523192818825772,0.562474967851308,0.0,1.0,0.0,1
cCEA,-0.489003071898453,0.6339338659993827,0.0,1.0,0.0,1
cIA,-0.6248785765201909,0.5336720292343765,0.0,1.0,0.0,1
cMEA,-0.5936921060474305,0.6723109332211925,0.0,1.0,0.0,1
cPALd,-0.9162054694089508,0.6259925411762174,0.0,1.0,0.0,1
cSI,-0.59167795718311,0.7123418937977087,0.0,1.0,4.064851358834473e-306,1
cMA,-0.9323195821119836,0.603015338251338,0.0,1.0,0.0,1
cMS,-1.082651674278791,0.5841994816510077,0.0,1.0,0.0,1
cNDB,-0.7812158284972331,0.6138244302998855,0.0,1.0,0.0,1
cBST,-0.5285735172625927,0.6927726889161353,0.0,1.0,4.977656530372628e-297,1
cVAL,-1.1948650550991025,0.5681586251678047,0.0,1.0,0.0,1
cVM,-1.1528373572016768,0.590267061725819,0.0,1.0,0.0,1
cVPL,-0.9767398696811319,0.6184592498682967,0.0,1.0,0.0,1
cVPM,-0.902669655582713,0.6254830314711521,0.0,1.0,0.0,1
cPoT,-1.2203930094032214,0.5766544774183244,0.0,1.0,0.0,1
cSPF,-1.15872937239062,0.5580380812467447,0.0,1.0,0.0,1
cSPA,-1.0102092529179767,0.5405237684252614,0.0,1.0,0.0,1
cPP,-1.1354806507088888,0.5736932356788071,0.0,1.0,0.0,1
cMG,-1.1426920721741494,0.6094534988247089,0.0,1.0,0.0,1
cLGd,-0.8466124157802483,0.6148353757558921,0.0,1.0,0.0,1
cLP,-0.7902876481464358,0.6281578036593608,0.0,1.0,0.0,1
cPO,-0.9099709959925193,0.6003025863789239,0.0,1.0,0.0,1
cPOL,-1.2867739769113757,0.5767638277603266,0.0,1.0,0.0,1
cSGN,-1.2475476441331212,0.547922566947176,0.0,1.0,0.0,1
cEth,-1.073301155835369,0.5573372161613743,0.0,1.0,0.0,1
cLD,-0.7852717444316911,0.6354397657629302,0.0,1.0,0.0,1
