region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iMA,0.08160773901563506,0.0608420245301574,0.07978845608028654,0.060281027498908714,0.12518847264968255,0
iMS,0.08176982677908338,0.06115844442886151,0.07978845608028654,0.060281027498908714,0.12828452868725315,0
iNDB,0.0806175691299824,0.06108775661796094,0.07978845608028654,0.060281027498908714,0.4219466619430654,0
iBST,0.027508924348654457,0.02484920463714979,0.07978845608028654,0.060281027498908714,0.0,1
iVAL,0.0792329607765433,0.060933226409053555,0.07978845608028654,0.060281027498908714,0.26268704150790095,0
iVM,0.08161336347980327,0.06129303615172658,0.07978845608028654,0.060281027498908714,0.15298133041398335,0
iVPL,0.08016691133493846,0.0602361137903226,0.07978845608028654,0.060281027498908714,0.19340844010419905,0
iVPM,0.07982105958452894,0.060730011732324486,0.07978845608028654,0.060281027498908714,0.8621571978372747,0
iPoT,0.08111337244524,0.06038627108503973,0.07978845608028654,0.060281027498908714,0.26078596575044116,0
iSPF,0.07720385719199918,0.06097568877267431,0.07978845608028654,0.060281027498908714,0.0028213914486946738,0
iSPA,0.08245280205741193,0.06194201785101743,0.07978845608028654,0.060281027498908714,0.029412849574699078,0
iPP,0.0789897917931092,0.05924762617168345,0.07978845608028654,0.060281027498908714,0.629106696456875,0
iMG,0.08053647597584783,0.06041759803797298,0.07978845608028654,0.060281027498908714,0.4320397087841745,0
iLGd,0.07916163557157346,0.06040662593304747,0.07978845608028654,0.060281027498908714,0.7649270800233904,0
iLP,0.08032799000264956,0.06116574552651216,0.07978845608028654,0.060281027498908714,0.5569070723930168,0
iPO,0.08025127963174629,0.06036891670930638,0.07978845608028654,0.060281027498908714,0.7535037840054465,0
iPOL,0.08049539807237353,0.060355123059045085,0.07978845608028654,0.060281027498908714,0.7371215118915664,0
iSGN,0.08070478708146461,0.06142140155350367,0.07978845608028654,0.060281027498908714,0.27717088744644547,0
iEth,0.07857200105504134,0.05987609785154481,0.07978845608028654,0.060281027498908714,0.5636017863029718,0
iLD,0.07949849272679901,0.06086848209341777,0.07978845608028654,0.060281027498908714,0.6753190267074409,0
iIMD,0.0985517875404081,0.065076383861818,0.07978845608028654,0.060281027498908714,2.157773791097601e-59,1
iMD,0.08107673557696923,0.06018714137476397,0.07978845608028654,0.060281027498908714,0.05609045631081505,0
iSMT,0.0801608301570011,0.06032239089941099,0.07978845608028654,0.060281027498908714,0.42585681307663514,0
iPR,0.08078230304260513,0.05981320768420929,0.07978845608028654,0.060281027498908714,0.06104496706573088,0
iPVT,0.08654572074887162,0.06325803071960459,0.07978845608028654,0.060281027498908714,3.2776135426002186e-8,1
iRE,0.0804631635279438,0.06080655209713513,0.07978845608028654,0.060281027498908714,0.9259732745321256,0
iXi,0.08067128836726903,0.060308154092264844,0.07978845608028654,0.060281027498908714,0.4251898998939354,0
iRH,0.09966252893482058,0.055346435740078394,0.07978845608028654,0.060281027498908714,1.1540314989825564e-123,1
iCM,0.31416532089417804,0.06444372519992433,0.07978845608028654,0.060281027498908714,0.0,1
iPCN,0.08026870919873079,0.059109482679327974,0.07978845608028654,0.060281027498908714,0.28715825483178026,0
iCL,0.08316073719287588,0.06079619200064708,0.07978845608028654,0.060281027498908714,0.0003481305314474172,1
