gene,r mean,r variance,pval mean,pval variance,portion
Pjvk,-0.24058426252313558,0.0015367827525647922,0.018182360593211423,0.0005186518457138505,0.0
Pkd1,0.1336163290255411,0.0013994305452080407,0.18638037554678183,0.013897076777309256,0.0
Pkd1l1,-0.15363300735369373,0.0022565380085271527,0.14300072239108758,0.014989049914095387,0.0
Pkd1l2,-0.25141546757679994,0.0030852677603832803,0.01649049909037673,0.0003469582428372068,0.0
Pkd1l3,-0.23495281935463938,0.003976683348717385,0.02768140167306938,0.0008239687027982196,0.0
Pkd2,0.03979922340269278,0.0028878088122632466,0.6050611984473434,0.07950558753908839,0.0
Pkd2l1,-0.12477819501622318,0.0015705268480934547,0.21771334092169536,0.011923653740018261,0.0
Pkd2l2,-0.1617374208314037,0.0012535074536546699,0.10342443053419711,0.0024351167720798907,0.0
Pkdcc,-0.22546349752546901,0.0027927765910434822,0.03280106478743319,0.0016554097793782087,0.0
Pkdrej,-0.21922319983677507,0.00181098649788702,0.027824643127897248,0.00025777488732690905,0.0
Pkhd1,-0.2279188817922758,0.001693517625980957,0.02374212023334172,0.00044278112948479116,0.0
Pkia,-0.07089370472886176,0.0035117141219438114,0.5272038923168396,0.09549802174650941,0.0
Pkib,-0.045373942513339545,0.002248948642616702,0.5960895155748698,0.06279050529799762,0.0
Pkig,-0.3231149509920245,0.001481838700095629,0.0010280971417193376,1.6623953440051582e-6,0.0
Pklr,-0.2622909705754424,0.001988041901564387,0.01044377270779375,0.00012584774529150167,0.0
Pkm,0.24949716611099956,0.0030518063835921305,0.016646808461070285,0.000314919737441744,0.0
Pkmyt1,-0.327539317296525,0.002485732645295342,0.001780608892879476,1.4115408262940398e-5,0.0
Pkn1,-0.2862755497900237,0.001610061443862043,0.004177185554621893,2.1107550633134913e-5,0.0
Pkn2,-0.19655980289916536,0.0019529137532068482,0.05805212563585159,0.004213041174800932,0.0
Pkn3,-0.20405142825487857,0.001385631617173262,0.043069498255913254,0.001594728012780784,0.0
Pknox1,-0.23106762746992837,0.0011209787844402342,0.019423095748659525,0.00025996718717145986,0.0
Pknox2,-0.2159774765869773,0.004218817459696371,0.04242810209118103,0.001854333360399751,0.0
Pkp1,-0.31042975950243895,0.002862613435854277,0.0035390599860006533,3.3845126006844646e-5,0.0
Pkp2,0.025118911520216815,0.003065252776976343,0.673274965472725,0.08688189458282046,0.0
Pkp3,-0.23065735642987545,0.0029689720631315146,0.03213499900102547,0.0016072083132765193,0.0
Pkp4,0.18613825581250296,0.001337539277751807,0.06384768104761653,0.0030397117254280966,0.0
Pla1a,-0.24703896711656928,0.0025902201951233323,0.019596834857927282,0.0006359389542855958,0.0
Pla2g10,-0.2688202235208217,0.002167194948124575,0.008210839607813275,7.423829082183393e-5,0.0
Pla2g12a,0.007071935828887004,0.0014816471881246374,0.7553655853098871,0.0300258733238854,0.0
Pla2g12b,-0.21958277900728568,0.002046445118175198,0.02985478636123423,0.0004929828070387361,0.0
Pla2g15,-0.10371294472025176,0.003490416821829471,0.3474189287456763,0.056938473814321044,0.0
Pla2g2a,-0.21297270712226374,0.0027444987799639534,0.04504834500490891,0.003173168654996247,0.0
Pla2g2c,-0.1188331631719555,0.0028862623881692894,0.27260103316651263,0.060630185326460695,0.0
Pla2g2d,-0.27081192296755235,0.0015343741051770717,0.006903950314009369,6.654024857944792e-5,0.0
Pla2g2e,-0.2895842802683056,0.002084890801193034,0.004145534726724265,2.0252582126260043e-5,0.0
Pla2g2f,-0.25132112961034575,0.0037565876947167572,0.022099572346717857,0.000998381156460749,0.0
Pla2g3,-0.35019180727972465,0.0008563883562570777,0.0003179877820339772,2.7794757630787945e-7,0.0
Pla2g4a,-0.2810677208485954,0.0029217272455223536,0.008811567978067902,0.00029290879160592657,0.0
Pla2g4b,-0.14048197809727078,0.003436909043218552,0.1984424881185774,0.0268267595750876,0.0
Pla2g4c,-0.20967056612257723,0.001822465238674851,0.0423515094934734,0.0024089181771631348,0.0
Pla2g4d,-0.24355052819439446,0.001041517737941781,0.013741205291988731,0.00021818837447959538,0.0
Pla2g4e,-0.2655535288144957,0.0015037867392240934,0.008276446983920608,9.562480095703456e-5,0.0
Pla2g4f,-0.2509889401298159,0.0012133023523468191,0.010460342925029852,6.0105710528020766e-5,0.0
Pla2g5,-0.30294729009426125,0.003269206837216773,0.0033739882637671055,1.5741689495296077e-5,0.0
Pla2g6,-0.1284606263373838,0.0010962492763450457,0.1964155624240355,0.008769913601499878,0.0
Pla2g7,0.3240825200641905,0.004433397802894868,0.0029678928312805975,3.017835971330691e-5,0.1
Pla2r1,-0.25031553117798155,0.002410793641967417,0.015994482314777705,0.00042045412744865754,0.0
Plaa,0.06592559022803154,0.001390126747361599,0.5158289866054233,0.06043734217016578,0.0
Plaat1,-0.1765023487800135,0.002582001166428623,0.09815202850289331,0.013170140152504915,0.0
Plaat3,0.019242045609890023,0.0014261091722573642,0.7293580604961395,0.0329173690603717,0.0
Plaat5,-0.27908579958054236,0.003376002666996928,0.00936677464795138,0.00018036869357530516,0.0
Plac1,-0.15083704135924508,0.0031898289467343307,0.17227715814110187,0.05599640640131118,0.0
Plac8,-0.11562582495963043,0.0010746695827690007,0.2460381021453292,0.01407717319402855,0.0
