gene,r mean,r variance,pval mean,pval variance,portion
1700013H16Rik,0.027235090780526966,0.0015585244678793903,0.6910445956474007,0.03763968148788769,0.0
Pttg1ip2,0.001643019388673605,0.0012781678736002071,0.7494210457021142,0.014609801733622233,0.0
1700015G11Rik,0.00679804725652552,0.0012942479212746491,0.7476061948651179,0.01773780617796215,0.0
1700016C15Rik,0.10298077931642832,0.001921523204671388,0.31887410640217395,0.05973611530047778,0.0
1700016D06Rik,0.008284794237617585,0.0018673758516218478,0.7068024328039191,0.026296117777518734,0.0
1700016H13Rik,0.06788153736546587,0.0017614889115116976,0.49908415430279857,0.07415004665827114,0.0
1700016K19Rik,0.0698407815345706,0.0004216127070849898,0.4712609710259509,0.018241691680870052,0.0
1700017B05Rik,-0.16345099239882735,0.002748606334501134,0.1179303885946074,0.006233295861653456,0.0
1700017N19Rik,0.07806944712603672,0.001259444581768581,0.4373261705323014,0.0548108518681664,0.0
1700018B08Rik,0.08751357590154862,0.000716460391571537,0.37298975348055763,0.024951999129475443,0.0
1700018F24Rik,0.06882690442345521,0.00031940193444867894,0.47591062626859815,0.012427086040680893,0.0
1700018G05Rik,0.003592197781914138,0.001783260869347612,0.7191071283971875,0.02739969055404975,0.0
1700019A02Rik,0.08026413402587915,0.0012884744971714578,0.42526184428149955,0.05382525696629707,0.0
1700019D03Rik,-0.05609630634563101,0.003709268534819519,0.5263162711377755,0.07707117228743268,0.0
1700019N19Rik,0.06726815009100881,0.0022144103769288943,0.48469599170147404,0.056975380059362375,0.0
1700020A23Rik,-0.02609414263809078,0.002158889886041747,0.6887553960163506,0.05200587843859163,0.0
Nscme3l,-0.020656726549300695,0.0026292445026519506,0.6477978518612503,0.045658050030311016,0.0
1700020L24Rik,-0.01786051971514548,0.0024484037311913714,0.7488482601514672,0.06620248357663354,0.0
1700020N01Rik,0.11514143468149418,0.0017454772937447217,0.2631727420110148,0.03704794185732144,0.0
1700020N15Rik,0.060930688546555326,0.0013109041934055944,0.5463816328373379,0.062502177070498,0.0
1700021F07Rik,0.05336586726308031,0.0027997213229692904,0.5168368967330548,0.04575369213942517,0.0
1700022I11Rik,-0.005661134155646047,0.0006825535897438462,0.8243168370111709,0.013657233690084286,0.0
1700024G13Rik,0.0521647807766115,0.0021171374144287386,0.5888143774521063,0.07834677271605402,0.0
1700024J04Rik,0.01983198520652795,0.0003061334510140578,0.8356064996343303,0.019040922574451846,0.0
1700025C18Rik,0.049359211250329715,0.000942160693805304,0.5915143261289446,0.030255789577689516,0.0
1700025G04Rik,-0.027279566861988198,0.002745595105125263,0.7268487432046024,0.06859456284207681,0.0
1700028J19Rik,0.06893019189940855,0.00075949338666506,0.48438069298561287,0.03168708613090377,0.0
1700028K03Rik,0.02228180075496549,0.0009631513717726565,0.7742160459587735,0.036963105793222,0.0
1700028P14Rik,0.08102354994340359,0.0010787225733731873,0.4180480680677938,0.03423777231622638,0.0
1700029F12Rik,0.03906733681945262,0.0009013639074775531,0.6791521576395603,0.03870734136204767,0.0
1700029H14Rik,0.007345597112851559,0.0010970322683560804,0.8011063031527508,0.029281179543743194,0.0
1700029I15Rik,-0.027798394660771004,0.001423591450289137,0.6857930606112493,0.030569598828005893,0.0
1700029J07Rik,0.036066220502498206,0.0006273388658369588,0.7138595203894902,0.034793110407138145,0.0
Ndufb11b,0.07541846284811747,0.0011219289919484716,0.45196414764418796,0.0385647458073998,0.0
1700030J22Rik,0.1120720253542479,0.0012963951208278977,0.26669245656239715,0.02972847658705602,0.0
1700030K09Rik,-0.11311398470176588,0.002470227214236431,0.28762201604587795,0.044892785409439556,0.0
1700031F05Rik,0.05945928394690505,0.000950470611835006,0.5506828970867294,0.042337352259134285,0.0
1700034E13Rik,0.018945461657616826,0.0012118708957979227,0.7475159885056524,0.03019893198892408,0.0
1700034J05Rik,0.07379751836790556,0.0017737646382827254,0.4750650388639216,0.06814575575134266,0.0
1700037C18Rik,-0.04069269743469531,0.0033688264229502747,0.6174772998174867,0.08001464794593076,0.0
1700037H04Rik,-0.015626029911210794,0.003502036876529704,0.6787291986155002,0.07227611363425779,0.0
P3r3urf,0.05241709705230946,0.002051805440150322,0.5660706617383753,0.05955341045265009,0.0
