Label,r
Dmbx1,-0.4303664662735756
Ccdc13,-0.4544881502958381
Gm19470,-0.4428728804098522
Kalrn,-0.4460358511509522
Desi1,0.4475110000449957
Tpra1,0.4819724158934855
Depdc1b,-0.44007221588139467
Adrb2,-0.4439092563117404
Prss40,-0.48209552448043214
Mmp27,-0.44727048789393975
Glul,0.47543397075081706
Otx1,-0.4318696074760541
Cetn1,-0.45731947360776104
Spink5,-0.4611061124308132
Parn,-0.4395832434971375
Kir3dl2,-0.4298235887467081
Gm11232,-0.44664803614818416
Stk35,-0.4392215960697717
Depdc7,-0.43810586844904365
Dusp7,-0.4341205132684326
Cd40lg,-0.44012153830368345
Lim2,-0.44903848203872876
Trappc6a,-0.4340581944504003
Plcz1,-0.4477523776609671
Galp,-0.4407186075409071
Gpatch8,0.44031310720607497
Sfn,-0.44290802234634746
Gm13547,-0.4392971629981379
Psg26,-0.44148783212755605
Abca13,-0.4387407706464599
Krt79,-0.4341256280688328
Grsf1,0.4755705263499931
Olfr44,-0.45298485144445627
Rhox1,-0.43108599045596663
A830005F24Rik,-0.4349012800043208
Adprh,0.44387868043784207
Tubb4a,0.43933841919516303
Zp3r,-0.442337441010036
Zfp408,-0.4310667503362473
Prl2a1,-0.4283650231449069
Olfr165,-0.458367251628222
Pecr,-0.4626223219451297
Gpr171,-0.4344701286671474
Cldn16,-0.4388342064480488
Cct8,0.44443748437066666
Ptk6,-0.44441130031189147
Rhoh,-0.4615945975810547
Bicral,0.475448339864481
Ccl8,-0.437367880217093
Cacng6,-0.4391171450214627
Mocos,-0.4336532791939893
Gns,0.4370901861222839
Adipoq,-0.43951319911537823
Mfn2,0.4533477022831365
Nmb,-0.43674805668733674
Slc5a2,-0.4303924733689609
Fmo4,-0.4452047435975709
Ripk4,-0.4344287910773911
Olfr898,-0.4366679708888449
Zfta,-0.4662698813928124
Gm3336,-0.4528094583696514
Bicd1,0.4580379156115293
Elavl2,0.4532637044457487
Spint1,-0.4402129928611809
Gpr61,-0.4361866572833949
1700028P14Rik,-0.44014334864340665
Tacr2,-0.4581154085839534
Chrna2,-0.4308561656968034
Klri1,-0.47014695286733105
Depdc1a,-0.4428653345724457
Zswim3,-0.436946246535863
Cerk,0.43926481217968294
Timp3,0.43429195627235384
Miox,-0.42757909503752284
Slco5a1,-0.4436205844916423
Impact,0.4886169121724191
Gm17695,-0.4333167787863358
Mpz,-0.4445964724255095
Bsg,0.46027660839269835
Cr2,-0.44287291243051835
2010109A12Rik,-0.4355434344387693
Trim30a,-0.447367496762507
Fam131a,-0.4383390791488433
Hpf1,0.43354045805160407
Tnfrsf10b,-0.43450680291585797
