gene,r,portion
Nme4,-0.467717003204791,0.001
Adam34,-0.4419476914304218,0.001
Sh3pxd2a,-0.4519058345138357,0.001
Tas2r129,-0.43658687225688486,0.001
Arhgef37,-0.4271567511126446,0.001
Psmb11,-0.4476564542290678,0.001
Abcc4,-0.4283292383459857,0.001
Tasp1,0.43728677102557467,0.001
Tubb5,0.4431550702447307,0.001
Vstm4,-0.434482532993079,0.001
Mlip,-0.45321570858361176,0.001
Adipor1,0.4290965147404772,0.001
Mrpl3,0.43182650111557597,0.001
Piezo1,-0.44902522019810015,0.001
Ces1b,-0.4257142444680219,0.001
Adamtsl1,-0.45584144946065813,0.001
Pabpn1l,-0.44466736645021004,0.001
Gm5114,-0.44767805356320783,0.001
Trpm2,0.461505765472045,0.001
Trappc14,0.4625452479333599,0.001
Tceal9,0.45676775740664016,0.001
Mapk9,0.4865291204674457,0.001
Kcnj8,-0.42916499039913963,0.001
Eda,-0.4663641257956893,0.001
Wdfy4,-0.42669464937016083,0.001
Arhgap35,0.42963095692367864,0.001
Ccl24,-0.4641673591155944,0.001
Slc30a8,-0.44245825089070256,0.001
Ndn,0.48825859456699855,0.001
Slc36a3,-0.44276164883439295,0.001
Dxo,-0.4336057432196791,0.001
Olfr164,-0.45947057186182294,0.001
Trappc10,0.42732129778426076,0.001
H60b,-0.429034122411958,0.001
Rassf1,-0.43219213752519414,0.001
Prtg,-0.48523389362544567,0.001
Olfr1101,-0.436189382678602,0.001
Rint1,-0.4634068980136605,0.001
2010003K11Rik,-0.4268090911351762,0.001
Tmx4,0.5092520414592002,0.001
Slirp,0.46290153977489906,0.001
Ndufaf6,-0.4266517189216833,0.001
Spem2,-0.4356025977006531,0.001
Fxr2,0.4562064429835735,0.001
Dnah10,-0.44336034010882264,0.001
Palm3,-0.4292682215849539,0.001
Ywhab,0.44817499801412486,0.001
Ankrd54,-0.4265709521628628,0.001
Cyc1,0.4493821630964794,0.001
Acox2,-0.4237232134143249,0.001
Evc2,-0.46924622099097,0.001
Lmo1,-0.4331378242519689,0.001
Treml4,-0.4267595928603275,0.001
Olfr284,-0.4391980761851027,0.001
Hjurp,0.4712744392378248,0.001
Cd177,-0.443924861422544,0.001
Dlx4,-0.4664781479934287,0.001
Kcnq5,-0.43485732115068315,0.001
Pemt,-0.4524160391541684,0.001
Tsn,0.4635277164033903,0.001
Rabl6,0.45316395934996834,0.001
Chrna10,-0.43728722915718693,0.001
Gm36672,-0.4379023882533627,0.001
Elf3,-0.45785454838969303,0.001
Mdh2,0.42499541257864965,0.001
A630073D07Rik,-0.4270357578041532,0.001
Pspn,-0.45183594887436307,0.001
Sec14l3,-0.4653411243649696,0.001
Efhb,-0.42767056799917763,0.001
Ikbke,-0.4316812418574312,0.001
Serpinb9d,-0.44343008323191047,0.001
Polg2,-0.43765106248242847,0.001
Rhox5,-0.42732050552431866,0.001
Gabarap,0.45794434566487585,0.001
Acvr1c,-0.42618832712629684,0.001
Sfi1,-0.4252607564640912,0.001
Sdk1,-0.4445077858978049,0.001
Prr19,-0.4260318586358388,0.001
Mex3c,-0.47766723619247164,0.001
Krt39,-0.4374074993736094,0.001
Ms4a13,-0.4519573702439107,0.001
Tnfrsf4,-0.4244819201831365,0.001
Zfp664,0.44650917402948137,0.001
Ces1c,-0.4392505020797805,0.001
Sap25,-0.44666869717488,0.001
Was,-0.44089809506177546,0.001
Tspyl1,0.46191485653236386,0.001
Tph1,-0.43954012255117336,0.001
Cre,-0.42984878982046115,0.001
Gm20783,-0.430498140638992,0.001
H3c2,-0.42498477260322665,0.001
Zfp609,-0.43090281057664787,0.001
Tas2r135,-0.44280701759953095,0.001
Prr23a2,-0.4765375964133985,0.001
Qars,-0.42793590230772427,0.001
Ccdc47,0.45383062538578545,0.001
Olfr549,-0.4951888886938798,0.001
Ypel5,0.4514166594888539,0.001
Tm9sf4,0.4362272812926254,0.001
Enpep,-0.4366774784441001,0.001
Spta1,-0.4636572317178214,0.001
Gm46319,-0.4420936889233615,0.001
Ptrhd1,-0.4323444995811324,0.001
Cdhr1,-0.4342878380661135,0.001
Ikzf3,-0.4371270173650686,0.001
Drp2,-0.4369906664218636,0.001
Olfr26,-0.43031170631205695,0.001
Sav1,-0.4502778946987636,0.001
Polg,-0.44799579078064755,0.001
Cfap97d2,-0.4428031287589499,0.001
Scarf2,-0.42601082654723604,0.001
Fcer2a,-0.43362503116505446,0.001
Clasp1,0.45318798713353114,0.001
Adgre4,-0.43872195242799106,0.001
Psmd10,-0.4260587879369474,0.001
Vmn2r83,-0.4291660468765214,0.001
Cyp7a1,-0.4378517028847579,0.001
Ccdc7b,-0.4273298665649767,0.001
Pde6h,-0.4295152265832179,0.001
Ctla2a,-0.4357579808057457,0.001
Ccdc177,-0.4461607934420411,0.001
Cxcr4,-0.4408627032208604,0.001
Atp1a4,-0.4415248296167427,0.001
Pate1,-0.42586539680150487,0.001
H1f4,0.4258179339536361,0.001
Dio2,-0.4243577915464318,0.001
Psmb9,-0.4367725099355919,0.001
A1cf,-0.43798485901490947,0.001
Ect2l,-0.4402926995149545,0.001
Cdh19,-0.4353218984366362,0.001
Btbd18,-0.43812055870009725,0.001
Mx1,-0.4272281441280906,0.001
Nlrp9b,-0.42585631321597145,0.001
Syt11,0.42843700184149297,0.001
Adad2,-0.44172388919685773,0.001
Fam161a,-0.44017859088209826,0.001
Sv2a,0.45112665293152876,0.001
Endod1,0.47324968182200694,0.001
Ppp6r1,-0.5016850266502813,0.001
3110040M04Rik,-0.4269067691091532,0.001
Ldoc1,-0.4263082782319489,0.001
Pyy,-0.4287472180422266,0.001
Upk1a,-0.4263108383661012,0.001
Vmn1r236,-0.4256874957478883,0.001
Chil4,-0.4448198920566623,0.001
Zscan4c,-0.4627700501643708,0.001
Clec1a,-0.47106325850028336,0.001
Trim71,-0.4248345773119961,0.001
Cd19,-0.42608119323636706,0.001
Cdkn2d,-0.4460631891677562,0.001
Slc38a11,-0.43299309004156916,0.001
Ube4b,0.4320614217418513,0.001
Cpb2,-0.4322254602495376,0.001
Vmn2r109,-0.4588988017544955,0.001
Trmt13,-0.44997676184012286,0.001
Olfr433,-0.43927061015601315,0.001
Mill1,-0.4744606332541977,0.001
Glt28d2,-0.4319309432934484,0.001
Mff,0.45722644934326134,0.001
Csnka2ip,-0.43678760046049814,0.001
Pla2g4f,-0.4354534636056213,0.001
Fhit,-0.440403793325251,0.001
Pgm1,0.4325571999072906,0.001
Tnfrsf11b,-0.43852987376579683,0.001
Gm12216,-0.42941290812217325,0.001
Cep57l1,-0.4377049777970876,0.001
Hsh2d,-0.48476736707127743,0.001
Olfr38,-0.42884879597172865,0.001
Exd1,-0.42529192171262614,0.001
Angptl8,-0.43054437977877863,0.001
Gm20765,-0.4376648038799395,0.001
Vmn1r67,-0.4391826878682554,0.001
Vmn1r46,-0.4357660920217484,0.001
Cxcl9,-0.42972222986528236,0.001
Cracr2b,-0.4421406462110493,0.001
Jak2,-0.43191185722839553,0.001
Gcgr,-0.43578711859351354,0.001
Npl,-0.4325020481294539,0.001
Higd2a,0.44037983155310595,0.001
Vmn1r87,-0.45497208009237533,0.001
P2ry4,-0.4530356321315909,0.001
Fcrls,-0.464349047313465,0.001
Cryba2,-0.45951729930521734,0.001
Ssxb5,-0.43535721728680754,0.001
Parpbp,-0.4883017451754963,0.001
Uchl1,0.432080810331987,0.001
1700024G13Rik,-0.4252800332998982,0.001
Cltc,0.4355578107401784,0.001
Zfp300,-0.4269506743691299,0.001
Gm52520,-0.4264335640458976,0.001
Trpc5os,-0.44967543007999716,0.001
1700093K21Rik,-0.4417655709885895,0.001
Olfr1116,-0.43659356070023975,0.001
Epm2aip1,0.4661181784350179,0.001
Cog7,-0.44037997354674036,0.001
Scgb1b3,-0.43653161633684123,0.001
Gja1,0.45473792324365114,0.001
Prss41,-0.4561400012561266,0.001
Vmn1r101,-0.44449482403099144,0.001
Ctla2b,-0.4588288103742887,0.001
Ssxb9,-0.47803930740884704,0.001
4931429L15Rik,-0.4399862110346484,0.001
Gatc,-0.43185636810563316,0.001
Cldn17,-0.44275397769253716,0.001
Nsg1,0.46781809475422037,0.001
Hnrnpl,0.4388685046344553,0.001
Prrt3,-0.4305484971532205,0.001
Pdzph1,-0.43856170624533236,0.001
Olfr1466,-0.43604795261007356,0.001
Lsamp,0.4623143415663491,0.001
Vmn1r15,-0.43411063666586175,0.001
Zscan10,-0.458013834818485,0.001
Pou2f2,-0.4257406572547535,0.001
Alg2,0.4987800393596557,0.001
Lbhd1,-0.4604765392760716,0.001
Acod1,-0.4505107143613323,0.001
C1qtnf2,-0.4585486223304359,0.001
Cyp2j11,-0.4370487225550645,0.001
Olfr166,-0.4590440040705725,0.001
Tsga10,-0.4670783868284112,0.001
Zfp273,-0.507146602825911,0.001
Olfr775,-0.45012446424593766,0.001
Rspo2,-0.42401003541012794,0.001
Vmn2r61,-0.43435802430686643,0.001
9030025P20Rik,0.44507235658698663,0.001
P2ry6,-0.4345310675745495,0.001
Fmod,-0.44210799476355384,0.001
Crb2,-0.45375406367431353,0.001
Acsm2,-0.4419474805562329,0.001
Ninl,-0.4373686779231187,0.001
Marchf2,0.44126826433389177,0.001
4930402F06Rik,-0.4466992191392989,0.001
Ptbp3,-0.4630869783360538,0.001
Ear14,-0.43310558804922017,0.001
Kcnc3,0.4357406509862656,0.001
Csl,-0.45986503623414,0.001
Ctag2,-0.42448523605392585,0.001
Cpn2,-0.4287648321643448,0.001
Dnase2a,-0.4763349498425179,0.001
Nop56,0.4332667457994912,0.001
Gm32719,-0.4385593645756798,0.001
Clstn3,0.47225688904054536,0.001
Krt2,-0.4525475815643565,0.001
Chrdl1,-0.42887751279475583,0.001
Tceal3,0.4667630041137173,0.001
Hlx,-0.4275276510686189,0.001
Krt16,-0.43839528645232706,0.001
Cst3,0.510982161275049,0.001
Eci3,-0.44627242102241244,0.001
Gm38425,-0.48562397157192494,0.001
Duoxa2,-0.42783751777397516,0.001
Lrrc59,0.45260352563252343,0.001
Prss56,-0.4687256157096443,0.001
Cd300lb,-0.44253433249967533,0.001
Ccr1,-0.45016362791639947,0.001
Numbl,-0.438024126044075,0.001
Keg1,-0.4489173815627298,0.001
Cox16,-0.43089526231463404,0.001
Tonsl,-0.4318891333932958,0.001
Safb,-0.4370926358405559,0.001
Hoatz,-0.43593375243590565,0.001
Pigk,0.44060134893095965,0.001
Rnf141,-0.49721235522816104,0.001
Trem3,-0.4373345805834531,0.001
Elp3,0.44842930490608535,0.001
Sprr2h,-0.4578987492036251,0.001
Slc2a12,-0.4443742782538061,0.001
Igsf9,-0.4411587035078643,0.001
Sun1,-0.4368395388571363,0.001
Spint5,-0.43223223670249866,0.001
Vmn2r75,-0.43156222166667896,0.001
Cd109,-0.46635300609761915,0.001
Synj1,0.44226300221343423,0.001
Fyttd1,0.502557866062686,0.001
Olfr789,-0.4280983143034186,0.001
Agbl2,-0.44839287903987096,0.001
St13,0.46200261227470424,0.001
Cdx1,-0.44093143942386165,0.001
Cacna1c,0.43174658735800303,0.001
Calhm2,-0.44081188504794444,0.001
Mgarp,-0.4401508254342685,0.001
Rarg,-0.44619598735508736,0.001
Rab34,-0.43365943178818306,0.001
Sh2b2,-0.42894279819373926,0.001
Gtf2f1,0.43355991461457627,0.001
Adam22,0.45806033972281646,0.001
Dnaaf3,-0.4581786495883884,0.001
Clptm1,0.4349363241015603,0.001
Ppp1r36,-0.4345308906329729,0.001
Vsig10,-0.45766651558595356,0.001
Tenm3,0.45662372421174624,0.001
Cops4,0.4250995257121874,0.001
Itm2b,0.47108821058495204,0.001
Upp1,-0.4772925772157624,0.001
Art3,-0.43352498152248764,0.001
Ccr7,-0.436916280068679,0.001
Map1lc3a,0.4668716456564194,0.001
Rdh5,-0.4292166080390025,0.001
Trim12a,-0.45190770464391544,0.001
Ube2d2a,0.44191474300778627,0.001
Net1,-0.441109576455023,0.001
Emc1,0.46839534239838165,0.001
Lypd2,-0.4410964942578856,0.001
Sgk2,-0.4293685596010688,0.001
Sult1d1,-0.4277731138526346,0.001
Ugt1a1,-0.45164342057516177,0.001
Chil3,-0.4422958257804159,0.001
Aplf,-0.43816541732577785,0.001
Wasf2,-0.4262957855447391,0.001
Prickle1,-0.4367984679669565,0.001
8030423J24Rik,-0.4287276021743323,0.001
Gm5798,-0.4294612859355128,0.001
1700012B09Rik,-0.4495620774581054,0.001
Cbs,-0.4311459246861297,0.001
Clcf1,-0.4295651787422756,0.001
Cfap157,-0.4251584977834316,0.001
Adamtsl3,-0.4418328575992611,0.001
Cst12,-0.44017728388065913,0.001
Ccl21a,-0.48279563908354906,0.001
Dppa2,-0.44134402729870764,0.001
Ubxn11,-0.4335709312773595,0.001
Vmn1r51,-0.4435769725941434,0.001
Baz1a,-0.4263279018738445,0.001
Lck,-0.43101610345936037,0.001
Apc2,0.4662019296138614,0.001
Gm31606,-0.4610577311212607,0.001
Sema3b,-0.43709318405813974,0.001
Aup1,0.4471426790243494,0.001
Zfp281,-0.4681008394869468,0.001
Cfhr2,-0.43800718227573127,0.001
Zfp316,-0.436113847807616,0.001
Abcc9,-0.4562804838624227,0.001
Olfr575,-0.43162702212630355,0.001
Egln3,-0.4276901886802895,0.001
Canx,0.49927636943814974,0.001
4930578L24Rik,-0.43059447765778386,0.001
Lekr1,-0.4280271159151157,0.001
Aurkaip1,0.42815596902247555,0.001
Scgb2b24,-0.42929877965989727,0.001
Gabrb3,-0.4375736346238698,0.001
Cir1,-0.4495082596593867,0.001
Vmn1r125,-0.4371076160200356,0.001
Sspn,-0.43258632622222815,0.001
Sult3a1,-0.46419750642627167,0.001
Tgoln1,0.4923612347800116,0.001
Kdf1,-0.4241446962848665,0.001
Snx30,0.46267331775795856,0.001
C1galt1,-0.4604924668561521,0.001
1700021F07Rik,-0.43219235314228754,0.001
Cubn,-0.42384631077657847,0.001
Ticrr,-0.42508882123762537,0.001
Kcnip2,-0.4304796346082774,0.001
Cyp2w1,-0.4843265610372136,0.001
Ovol1,-0.443816160796393,0.001
Per1,-0.4543748605664382,0.001
Tmcc2,0.46563586397229,0.001
Usp9x,0.42637210246124496,0.001
Dync1li1,0.4328965683920999,0.001
Tmem127,0.4465133617295567,0.001
Rpp25l,-0.43320024621874853,0.001
Cd276,-0.427455431356939,0.001
Eva1b,-0.4268700960430754,0.001
Gm1113,-0.4753222869051352,0.001
Rad51ap2,-0.44956975810060823,0.001
Gm34653,-0.45464195737412416,0.001
Nlrp3,-0.4404654735794681,0.001
Daam1,0.4334072845598341,0.001
1700125H20Rik,-0.4304183959324465,0.001
4930513O06Rik,-0.44608911542106006,0.001
4933407O12Rik,-0.42792868090619585,0.001
Map6,0.4304008349536449,0.001
Vmn1r168,-0.46809337893619,0.001
Usp42,-0.4328035716857788,0.001
Rin3,-0.4506174733461473,0.001
Nlrp10,-0.4315405048067117,0.001
Zc3h14,-0.4563293293655774,0.001
Irs2,0.4345974010385976,0.001
Myct1,-0.428962323522582,0.001
Tex13c3,-0.44010031666964766,0.001
Rora,0.43096155060306884,0.001
Tex11,-0.42542435280176305,0.001
Lgals3bp,-0.4392592331237267,0.001
Epha6,0.4319244704282569,0.001
Apobec1,-0.42416481247528626,0.001
Gimap8,-0.4618927676268616,0.001
Bscl2,0.4953191439820408,0.001
Zcchc3,-0.43793672176734927,0.001
Mab21l3,-0.46029654926672503,0.001
Xlr5a,-0.4469526970076378,0.001
Pramel7,-0.43028738801930594,0.001
Cryge,-0.43161559042537584,0.001
Wdr76,-0.42667456664403597,0.001
Rfc2,-0.44269878664626716,0.001
Cryba4,-0.4754287975934397,0.001
Lrg1,-0.4307783917447182,0.001
Hoxc6,-0.4413670947240173,0.001
Met,-0.4288680228236236,0.001
Cyth4,-0.4302017965941411,0.001
Mlkl,-0.4656692321113867,0.001
L1cam,0.43220496416002274,0.001
Akr1c20,-0.4395587358198506,0.001
Glb1l2,-0.4358755747970001,0.001
Grina,0.45815752173989377,0.001
Fam168b,0.4278390307040252,0.001
Vamp1,0.4290148079576209,0.001
Prss30,-0.47440904358058805,0.001
Capn6,-0.4311691586640388,0.001
Popdc2,-0.4389308705435305,0.001
Map7d1,0.4273002066486988,0.001
Adgrg7,-0.42743699755018644,0.001
Stab1,-0.45544900760821533,0.001
Nelfb,0.44709199885726625,0.001
Hdac6,0.4464708488160609,0.001
Olfr239,-0.4461452818155669,0.001
Gm34758,-0.4290112788272394,0.001
Gm20172,-0.4283936798408873,0.001
Spty2d1,-0.42965015049592253,0.001
Pmaip1,-0.42616545059208993,0.001
Myrfl,-0.4602006073201483,0.001
Tmbim6,0.47147467463862336,0.001
Pabpc4l,-0.4359208399402945,0.001
Card14,-0.46244268527818955,0.001
Dtl,-0.4288633245952906,0.001
Hmox2,0.43942932362044396,0.001
Il2ra,-0.4330014755665836,0.001
A2m,-0.4439198864886693,0.001
Olfr1002,-0.46079048771506004,0.001
Alg11,0.4449682262230811,0.001
Akr1c19,-0.43233501708787053,0.001
Gm20517,-0.48891251635793187,0.001
Spopfm2,-0.4338575394864198,0.001
Ecscr,-0.48791642023584353,0.001
Tmem220,-0.43478577320781264,0.001
Akap11,0.4313579482074867,0.001
Xkr9,-0.4254912167790396,0.001
Cenpq,-0.44556414217059637,0.001
Tpi1,0.4574517966038221,0.001
Nap1l4,0.4980899748583176,0.001
Edn1,-0.42832588450301323,0.001
Lat,-0.506399421273767,0.001
Ptpn18,-0.4306276510276986,0.001
Prim2,-0.48248876256859546,0.001
Klrb1c,-0.46197393194118963,0.001
Btn2a2,-0.44515042698151835,0.001
C1rl,-0.44111264320210825,0.001
Srpx,-0.4749500009866618,0.001
Slc10a5,-0.43065166325173104,0.001
