gene,r
Mobp,0.4570718177669694
Zfp689,-0.43166037819507785
Atp6v0c,0.43991319457565053
Smr3a,-0.43217084881350104
Cfl2,0.4322100655085569
Olfr446,-0.45591723953302016
Fxyd2,-0.43482285570993895
Clec11a,-0.434853644760237
Cfap91,-0.47057052819891015
Ska1,-0.4289302930649617
Col1a1,-0.4241468660630271
Klk15,-0.42386441596110774
Vcp,0.46168153827389663
Abca12,-0.4586608187310227
Prrx2,-0.4718484970816726
Magix,-0.44698824976898993
Slc10a1,-0.43369479104440795
Gpr119,-0.4337520059881944
Gm21188,-0.4240043586155125
Lamtor4,0.4281243378539146
Acot3,-0.43263234355784713
Prx,-0.441549896946147
Psmc3ip,-0.43322588782017624
Ugt1a7c,-0.4335488811394429
Efna4,-0.4259423837786208
Iqca1l,-0.4314529586306582
Bcl6b,-0.44017890464692866
Oprl1,0.44667441081662157
Fcrlb,-0.4301669040658321
Zfp384,-0.4400735163416412
Gm5460,-0.43845313761015203
Rdh1,-0.47241655011499967
Sptlc2,0.44011950324673416
Rab25,-0.43631118755423975
Cd300lf,-0.467713011936249
Vmn1r90,-0.4300535290593527
Lipm,-0.438409146723363
Zdhhc22,0.44299756239296806
Rnf165,-0.4257872256855958
Cdsn,-0.48077117407874953
Defb9,-0.46802035607990594
Rarb,-0.4747126061093673
Sbds,-0.435913600573169
Bcas1,-0.4710289594012944
Rep15,-0.4347810014428376
Adap2,-0.4312166219139963
Tnfsf4,-0.436536982191988
A930004D18Rik,-0.47071176297317635
Myo6,0.45726259270173975
Ccdc39,-0.4434212757704489
Prss47,-0.4297741081711914
Olfr851,-0.45095039129685976
C1ra,-0.4432450156065513
Wdr55,-0.4400042516804293
Wnt9a,-0.4679470851590206
Desi2,-0.4422299969463668
Rest,-0.4700642769935361
Olfr791,-0.4932635351820837
Mrgpra6,-0.4422217965657027
Gli3,-0.4622652570460186
C1ql4,-0.4281990237957875
Tmem174,-0.4397509762080004
E130218I03Rik,-0.4288284735578895
Ctcfl,-0.4325704699150321
Wdr53,-0.4284016821511149
Sectm1a,-0.4417055847933914
Krtap16-3,-0.4383227808471378
Olfml2a,-0.4486295957422332
Smarcc2,0.46864069110321555
Fto,0.5444734826123854
Serpina3k,-0.485032839463749
Efna1,-0.4250294318994138
Akap3,-0.43114813959033205
Slc25a54,-0.4293336109577372
Vmn1r85,-0.4360110518286733
Angptl3,-0.45313532771568604
Corin,-0.4436001037469143
Pilrb1,-0.46865252637177124
Cryzl2,-0.4329896023489165
Pih1d1,-0.42628438439990957
Prom2,-0.4637003813528302
Plekhd1,0.43082357377212444
Fam90a1b,-0.43171945799448863
Clrn3,-0.4280293006930896
Nme4,-0.467717003204791
Adam34,-0.4419476914304218
Sh3pxd2a,-0.4519058345138357
Tas2r129,-0.43658687225688486
Arhgef37,-0.4271567511126446
Psmb11,-0.4476564542290678
Abcc4,-0.4283292383459857
Tasp1,0.43728677102557467
Tubb5,0.4431550702447307
Vstm4,-0.434482532993079
Mlip,-0.45321570858361176
Adipor1,0.4290965147404772
Mrpl3,0.43182650111557597
Piezo1,-0.44902522019810015
Ces1b,-0.4257142444680219
Adamtsl1,-0.45584144946065813
Pabpn1l,-0.44466736645021004
Gm5114,-0.44767805356320783
Trpm2,0.461505765472045
Trappc14,0.4625452479333599
Tceal9,0.45676775740664016
Mapk9,0.4865291204674457
Kcnj8,-0.42916499039913963
Eda,-0.4663641257956893
Wdfy4,-0.42669464937016083
Arhgap35,0.42963095692367864
Ccl24,-0.4641673591155944
Slc30a8,-0.44245825089070256
Ndn,0.48825859456699855
Slc36a3,-0.44276164883439295
