region,capacity mode,capacity variance,decay mode,decay variance
iSNr,2.6461036213318248,0.08503808468906426,0.07395078550588549,0.00926416585719823
iVTA,3.373166557466215,0.030301312412142192,0.020890763494131923,0.0018015311684644634
iMRN,0.32226851050327915,0.3492367568686678,-0.02927047005800709,0.5650726367528245
iSCm,0.4417580461928757,0.3627060798763811,0.020420818628444047,0.6599818128603842
iPAG,0.23473965273042371,0.36380043129097106,0.2800208975003911,0.6657679711579929
iPRC,0.3402520772164294,0.3526101564536001,0.2450288053333722,0.4110763901829774
iINC,0.23682351635367582,0.34851574714291667,0.3959142997551011,0.36392352753696133
iND,0.26544571191094873,0.35646397177843203,0.42808831086090304,0.37663229832272876
iSu3,0.2569667302722515,0.3389921787844683,0.3146081874128085,0.39245295183920614
iAPN,0.2386725298147158,0.330891051221792,0.15465041922157674,0.4337320493503013
iMPT,0.24113868924764748,0.35168027562915866,0.26385988829817486,0.3925885706891155
iNOT,0.2124323304820543,0.35869430137262653,0.22655998258049623,0.36372027713247
iNPC,0.20748080314166092,0.3631343150619332,0.26205615231329876,0.402232288987956
iOP,0.24397176729680356,0.3257353004390564,0.3870810042143416,0.3762578773084036
iPPT,0.274605400856482,0.34785160353929245,0.3958801929214505,0.3649771057558203
iRPF,0.22803650210039342,0.3458246972025223,0.2111424049774723,0.41084659451156214
iCUN,0.3216433147592479,0.34462345303166775,0.10113774545012566,0.40222308184154326
iRN,0.22634560704414108,0.3621578179439252,0.33079304754460637,0.3811870398108533
iIII,0.24232548800011763,0.3336871225281436,0.3843136953259997,0.3663839796687809
iMA3,0.27693540553249546,0.33230232375051233,0.41211898856085327,0.3682230077275323
iIV,0.2139695227655362,0.34022456981729077,0.2727299176935483,0.4209912408900709
iPa4,0.20847205331768368,0.35723603758058375,0.48644348658852726,0.36038790818089045
iVTN,0.20703431832029898,0.3417659293296969,0.24682246735099597,0.6135150142565925
iAT,0.25699101898332827,0.33749944028297363,0.2057823490794435,0.35983527915974256
iLT,0.18891895141746776,0.252883393842702,0.763907050223192,0.2416557136786306
iMT,0.07214490662321979,0.054318537730472134,-0.2056065774164602,0.00047885964075154307
iSNc,4.749477181892219,0.02176202124627829,-0.08852932241295469,0.0002643008845320454
iPPN,2.4081756487663513,0.3970471926442478,-0.10200728058955115,0.006472688283937967
iIF,0.24760849948923,0.32734158873619845,0.42845487384475317,0.3841273887119148
iIPN,0.21298319424060413,0.36654262846614344,0.3274260956021627,0.37994879716323604
iRL,0.22354831177220935,0.3179661414531187,0.07831189098705821,0.3552232131569068
iCLI,0.08904982108799543,0.09842390743469427,-0.2664757634877858,0.0012008206491505012
iDR,0.3389077908278988,0.4675638450436718,-0.15461532336772074,0.25311700585385777
iP,0.21429437948452068,0.35700865172776697,0.06523749724848085,0.7899632286161231
iNLL,0.21984784176106947,0.3469598125512137,0.24524157991265005,0.4009679015906479
iPSV,0.21032632236006338,0.3655253474716917,0.1956903446376158,0.41256016556186365
iPB,0.2486372124406623,0.3241158645268041,-0.6112103658040362,0.6750959712165948
iSOC,0.244180003240677,0.3856890582702913,0.14106270639388344,0.41804825655181355
iP-mot,0.31409979299012786,0.3411961631841386,0.021313490306500062,0.593472528961471
iPG,0.21430866159320583,0.34949064208093633,0.0915290132210394,0.4037617782907962
iSUT,0.1945438300375581,0.3298192207094785,0.09794567826571468,0.6356011684261293
iTRN,0.25253316270046405,0.35359012384424887,0.21916617772871097,0.40514985994706126
iP5,0.23766678924040374,0.34697616842732365,0.2589069802182757,0.6298156653040512
iPC5,0.22101539108547502,0.35730515857781375,0.17719498623481433,0.4222820576041519
iCS,0.21514593498022816,0.35169628832400196,0.4203661343218088,0.3879845169288439
iPRNr,0.2719207332173523,0.3608570045418699,0.07430934240329325,0.46519165011904573
iMY,0.18638494155079063,0.35697803091863933,-0.01820935062535194,0.7282652965108531
iNTB,0.24475409859679859,0.35016399841701173,-0.18264004875198955,0.7674501739940681
iCB,0.2505885432534888,0.376207678850615,-0.04243104229188475,0.5976034136341355
cFRP,0.9879844235399224,0.04066028453668169,-0.18018715610307845,0.00047346651603259477
cMOp,0.2346119265135747,0.39922216334201505,-0.1939892376820446,0.11027361532329077
cMOs,1.1745613234889898,0.3734174606765753,-0.8666106735302074,0.004999683931406934
cSSp-n,0.2852383804443526,0.3587465564397732,0.6313600682740763,0.38723532714994724
cSSp-bfd,0.2212042608012403,0.3436199538916748,0.5375415237473969,0.3621526024126329
cSSp-ll,0.20486537184627854,0.3607963914331812,0.62266348343991,0.3175878393870733
cSSp-m,0.24648307529827346,0.3507841161912187,0.5885585877754184,0.3077272044859717
cSSp-ul,0.2265626394754817,0.36529714754365594,0.26767340536605716,0.290636779685124
cSSp-tr,0.5637026234493815,0.3677267645876476,0.3373294507154614,0.24418003625324422
cSSp-un,0.21862606549467958,0.38027772388296044,0.4995370598401613,0.24328676408187153
cSSs,0.2751971639296674,0.4035457943385228,-0.3185884637339439,0.29800177214293677
cGU,2.2641856618560112,0.6051478178166951,0.12210421338656628,0.0165707822563652
cVISC,1.524705741137415,0.2628925127616639,-0.06279443193170188,0.0032384906436765146
cAUDd,0.21102898757824165,0.3894879175128485,0.343500135396997,0.22235333764034165
cAUDp,0.3612824080823495,0.355949649533299,0.5231137742533842,0.3742253312981053
cAUDpo,0.22052130220223626,0.35813002362515545,0.6697301065304774,0.26299052819138163
cAUDv,0.7972684272148995,0.5031202555366515,-0.17595181998216272,0.0189578911624444
cVISal,0.19528973958265347,0.39359087886987415,0.5965152580542887,0.2737833369731917
cVISam,0.23871130632039178,0.34324678599295055,0.5633121381231277,0.2729993832552103
cVISl,0.30694016627980614,0.36283351461916685,0.4132570983198984,0.3423395650746252
cVISp,0.22816205901983155,0.3688351409805159,-0.12045790764390137,0.6228664166257009
cVISpl,0.18978800982126937,0.3822155971473693,0.46679581423065825,0.32990758359007505
cVISpm,0.21029337450780577,0.35530678663942983,0.6617402372665852,0.3162173076204048
cVISli,0.22504630013039587,0.33947781103118796,0.8035829260254319,0.2934658179295339
cVISpor,0.3449439651767662,0.387247450667842,0.38784822401146046,0.24029555025592372
cACAd,2.042766004036338,0.04920326113476832,-0.26877298419216705,0.0011940057396667798
cACAv,0.2348235266461399,0.35883740014468274,0.9386756115662551,0.21708602716676467
cPL,2.3598172949719936,0.02875042788076793,-0.2672104078640425,0.0008251304767013349
cILA,1.0545662569404892,0.5516627289582164,0.21015502412319062,0.024875401630429117
cORBl,1.7724371826220229,0.07531031649242893,-0.2884947942832729,0.0008331160387295335
cORBm,0.1910219418067371,0.28347788542895874,0.2750015617855799,0.0176578197139333
cORBvl,0.16279996003281685,0.1869222026712239,-0.0978496197179972,0.002310591507725743
cAId,1.7466033964114458,0.05875016863935258,-0.44523890309151504,0.0008571342641828921
cAIp,2.523224055929744,0.03364349962521361,-0.149057250349823,0.0009199697335804052
cAIv,1.49218850898673,0.21013099629036058,-0.0475563903700623,0.0022949145903716707
cRSPagl,0.23800647331373312,0.3613825840594168,0.4044593330455035,0.3526478367655072
cRSPd,0.2896575816215047,0.3568241322189328,0.5779492964532678,0.3937931967388985
cRSPv,0.23833470023594086,0.35275643643289845,0.7406013796448591,0.3722134663562341
cVISa,0.1977447048665457,0.3636899811931974,0.5663540036494821,0.3007297645724537
cVISrl,0.2416186646109523,0.369194919511794,0.27349729444407145,0.31568025773924635
cTEa,3.4515132425013975,0.04354944182095718,-0.3893739622034884,0.002758049213848398
cPERI,3.1043550654864642,0.022141131171671272,-0.007628795512905155,0.0006958594355316991
